azimuth,elevation,port 1_bits,port 2_bits,port 3_bits,port 4_bits,port 5_bits,port 6_bits,port 7_bits,port 8_bits,port 9_bits,port 10_bits,port 11_bits,port 12_bits,port 13_bits,port 14_bits,port 15_bits,port 16_bits,port 17_bits,port 18_bits,port 19_bits,port 20_bits,port 21_bits,port 22_bits,port 23_bits,port 24_bits,port 25_bits
-30,30,'010000,'010010,'100001,'100011,'100000,'100111,'100100,'100110,'000101,'000111,'100001,'000011,'000000,'000010,'111110,'000110,'111001,'111011,'111000,'011010,'111111,'111100,'111110,'011101,'011111
-30,35,'100100,'000110,'011001,'101011,'001000,'101111,'001100,'110110,'100101,'000111,'110001,'100011,'000000,'111100,'101110,'111010,'101001,'001011,'110000,'010010,'001111,'110100,'010110,'000101,'111011
-30,40,'111100,'101110,'110101,'100111,'111000,'100000,'111100,'001110,'010101,'000111,'001001,'010011,'000000,'011100,'001110,'011010,'001001,'100011,'111111,'101100,'100111,'111000,'101010,'110001,'100011
-30,45,'011010,'110001,'111101,'001111,'100100,'101000,'100010,'011110,'110101,'111011,'111001,'110011,'000000,'101100,'100110,'101010,'010001,'111101,'110111,'000100,'111011,'001000,'100010,'101110,'010101
-30,50,'001110,'000101,'110011,'111111,'010100,'000100,'001010,'111110,'110101,'111011,'100101,'001011,'000000,'001100,'111010,'101010,'100001,'001101,'000111,'110000,'011011,'100000,'101100,'000110,'001001
-25,-50,'100111,'110000,'101100,'111010,'000001,'000110,'100001,'110101,'101011,'111111,'001101,'011011,'000000,'010100,'001010,'110100,'101010,'111110,'000101,'010011,'000001,'100101,'110011,'101111,'111000
-25,-45,'110111,'011000,'100010,'110110,'011001,'000110,'110001,'011101,'000111,'110000,'010101,'101011,'000000,'110100,'011010,'000100,'010010,'101110,'000101,'110011,'010110,'101001,'111101,'010111,'101000
-25,-40,'011111,'100100,'101010,'100001,'001101,'100110,'101001,'000011,'001111,'000100,'100101,'001011,'000000,'001100,'111010,'001000,'000010,'110110,'111001,'110011,'001010,'111110,'110101,'111011,'010000
-25,-35,'100000,'101100,'010110,'011001,'110011,'010110,'111001,'110011,'111111,'001100,'111001,'001011,'000000,'001100,'100110,'100000,'101100,'100110,'011001,'010011,'101100,'010110,'011001,'110011,'111111
-25,-30,'001000,'100010,'111110,'001101,'100111,'001110,'100101,'011011,'110000,'000010,'011001,'110011,'000000,'101100,'010110,'101111,'010100,'111010,'001001,'010011,'111000,'001010,'100001,'111101,'001111
