azimuth,elevation,port 1,port 2,port 3,port 4,port 5,port 6,port 7,port 8,port 9,port 10,port 11,port 12,port 13,port 14,port 15,port 16,port 17,port 18,port 19,port 20,port 21,port 22,port 23,port 24,port 25
-45,-25,-56.250,73.125,-157.500,-28.125,101.250,84.375,-146.250,-16.875,112.500,-118.125,101.250,-129.375,0.000,129.375,-101.250,-112.500,16.875,146.250,-84.375,45.000,-101.250,28.125,157.500,-73.125,56.250
-45,-20,-39.375,95.625,-129.375,5.625,140.625,95.625,-129.375,5.625,135.000,-90.000,90.000,-135.000,0.000,135.000,-90.000,-135.000,-5.625,129.375,-95.625,39.375,-140.625,-5.625,129.375,-95.625,39.375
-45,-15,-11.250,123.750,-95.625,39.375,180.000,101.250,-118.125,22.500,157.500,-61.875,84.375,-140.625,0.000,140.625,-84.375,-157.500,-22.500,118.125,-101.250,33.750,-180.000,-39.375,95.625,-123.750,11.250
-45,-10,11.250,151.875,-67.500,73.125,-146.250,118.125,-101.250,39.375,180.000,-39.375,78.750,-140.625,0.000,140.625,-78.750,-180.000,-39.375,101.250,-118.125,22.500,146.250,-73.125,67.500,-151.875,-11.250
-45,-5,39.375,-174.375,-33.750,112.500,-106.875,129.375,-90.000,56.250,-163.125,-22.500,73.125,-140.625,0.000,140.625,-73.125,163.125,-56.250,90.000,-129.375,11.250,106.875,-112.500,33.750,174.375,-39.375
-45,0,73.125,-140.625,0.000,140.625,-73.125,146.250,-73.125,73.125,-146.250,0.000,73.125,-140.625,0.000,140.625,-73.125,146.250,-73.125,73.125,-146.250,0.000,73.125,-140.625,0.000,140.625,-73.125
-45,5,106.875,-112.500,33.750,174.375,-39.375,163.125,-56.250,90.000,-129.375,11.250,73.125,-140.625,0.000,140.625,-73.125,129.375,-90.000,56.250,-163.125,-22.500,39.375,-174.375,-33.750,112.500,-106.875
-45,10,146.250,-73.125,67.500,-151.875,-11.250,-180.000,-39.375,101.250,-118.125,22.500,78.750,-140.625,0.000,140.625,-78.750,118.125,-101.250,39.375,180.000,-39.375,11.250,151.875,-67.500,73.125,-146.250
-45,15,-180.000,-39.375,95.625,-123.750,11.250,-157.500,-22.500,118.125,-101.250,33.750,84.375,-140.625,0.000,140.625,-84.375,101.250,-118.125,22.500,157.500,-61.875,-11.250,123.750,-95.625,39.375,180.000
-45,20,-140.625,-5.625,129.375,-95.625,39.375,-135.000,-5.625,129.375,-95.625,39.375,90.000,-135.000,0.000,135.000,-90.000,95.625,-129.375,5.625,135.000,-90.000,-39.375,95.625,-129.375,5.625,140.625
-45,25,-101.250,28.125,157.500,-73.125,56.250,-112.500,16.875,146.250,-84.375,45.000,101.250,-129.375,0.000,129.375,-101.250,84.375,-146.250,-16.875,112.500,-118.125,-56.250,73.125,-157.500,-28.125,101.250
-45,30,-61.875,61.875,-174.375,-50.625,78.750,-90.000,33.750,157.500,-78.750,45.000,112.500,-123.750,0.000,123.750,-112.500,78.750,-157.500,-33.750,90.000,-146.250,-78.750,50.625,174.375,-61.875,61.875
-45,35,-16.875,101.250,-146.250,-28.125,90.000,-67.500,50.625,168.750,-78.750,39.375,123.750,-118.125,0.000,118.125,-123.750,78.750,-168.750,-50.625,67.500,-174.375,-90.000,28.125,146.250,-101.250,16.875
-45,40,22.500,135.000,-118.125,-5.625,101.250,-45.000,67.500,174.375,-73.125,33.750,140.625,-106.875,0.000,106.875,-140.625,73.125,-174.375,-67.500,45.000,151.875,-101.250,5.625,118.125,-135.000,-22.500
-45,45,61.875,163.125,-95.625,5.625,106.875,-16.875,84.375,-174.375,-73.125,28.125,157.500,-101.250,0.000,101.250,-157.500,73.125,174.375,-84.375,16.875,118.125,-106.875,-5.625,95.625,-163.125,-61.875
-45,50,106.875,-163.125,-73.125,22.500,112.500,5.625,95.625,-168.750,-78.750,16.875,174.375,-90.000,0.000,90.000,-174.375,78.750,168.750,-95.625,-5.625,84.375,-112.500,-22.500,73.125,163.125,-106.875
-40,-50,-95.625,-11.250,73.125,157.500,-123.750,90.000,174.375,-101.250,-16.875,67.500,-168.750,-84.375,0.000,84.375,168.750,16.875,101.250,-174.375,-90.000,-5.625,123.750,-157.500,-73.125,11.250,95.625
-40,-45,-90.000,0.000,95.625,-174.375,-84.375,90.000,-180.000,-84.375,5.625,95.625,174.375,-90.000,0.000,90.000,-174.375,-5.625,84.375,180.000,-90.000,5.625,84.375,174.375,-95.625,0.000,90.000
-40,-40,-78.750,16.875,118.125,-140.625,-45.000,90.000,-168.750,-73.125,28.125,129.375,163.125,-101.250,0.000,101.250,-163.125,-28.125,73.125,168.750,-90.000,11.250,45.000,140.625,-118.125,-16.875,78.750
-40,-35,-67.500,39.375,146.250,-106.875,-5.625,90.000,-163.125,-56.250,50.625,157.500,146.250,-106.875,0.000,106.875,-146.250,-50.625,56.250,163.125,-90.000,16.875,5.625,106.875,-146.250,-39.375,67.500
